Corp ,Corporation Name,Corp Grade 2019
15,Adams Central Community Schools,B
25,North Adams Community Schools,B
35,South Adams Schools,B
125,M S D Southwest Allen County Schls,A
225,Northwest Allen County Schools,A
235,Fort Wayne Community Schools,C
255,East Allen County Schools,B
365,Bartholomew Con School Corp,B
370,Flat Rock-Hawcreek School Corp,B
395,Benton Community School Corp,B
515,Blackford County Schools,B
615,Western Boone Co Com Sch Dist,B
630,Zionsville Community Schools,A
665,Lebanon Community School Corp,B
670,Brown County School Corporation,B
750,Carroll Consolidated School Corp,B
755,Delphi Community School Corp,B
775,Pioneer Regional School Corp,B
815,Southeastern School Corp,A
875,Logansport Community Sch Corp,B
940,West Clark Community Schools,B
1000,Clarksville Community School Corp,B
1010,Greater Clark County Schools,B
1125,Clay Community Schools,B
1150,Clinton Central School Corporation,Appeal Pending
1160,Clinton Prairie School Corporation,C
1170,Community Schools of Frankfort,Appeal Pending
1180,Rossville Con School District,B
1300,Crawford County Community Sch Corp,B
1315,Barr-Reeve Community Schools Inc,A
1375,North Daviess Com Schools,B
1405,Washington Community Schools,C
1560,Sunman-Dearborn Com Sch Corp,B
1600,South Dearborn Community Sch Corp,B
1620,Lawrenceburg Community School Corp,B
1655,Decatur County Community Schools,B
1730,Greensburg Community Schools,B
1805,DeKalb Co Eastern Com Sch Dist,B
1820,Garrett-Keyser-Butler Com Sch Corp,B
1835,DeKalb Co Ctl United Sch Dist,B
1875,Delaware Community School Corp,B
1885,Wes-Del Community Schools,C
1895,Liberty-Perry Community Sch Corp,B
1900,Cowan Community School Corp,B
1910,Yorktown Community Schools,B
1940,Daleville Community Schools,C
1970,Muncie Community Schools,No Grade
2040,Northeast Dubois Co Sch Corp,B
2100,Southeast Dubois Co Sch Corp,A
2110,Southwest Dubois Co Sch Corp,B
2120,Greater Jasper Consolidated Schs,A
2155,Fairfield Community Schools,B
2260,Baugo Community Schools,Appeal Pending
2270,Concord Community Schools,B
2275,Middlebury Community Schools,B
2285,Wa-Nee Community Schools,A
2305,Elkhart Community Schools,C
2315,Goshen Community Schools,B
2395,Fayette County School Corporation,B
2400,New Albany-Floyd Co Con Sch,B
2435,Attica Consolidated School Corp,B
2440,Covington Community School Corp,B
2455,Southeast Fountain School Corp,B
2475,Franklin County Community Sch Corp,B
2645,Rochester Community School Corp,C
2650,Caston School Corporation,C
2725,East Gibson School Corporation,C
2735,North Gibson School Corp,C
2765,South Gibson School Corporation,A
2815,Eastbrook Community Sch Corp,B
2825,Madison-Grant United School Corp,B
2855,Mississinewa Community School Corp,B
2865,Marion Community Schools,C
2920,Bloomfield School District,B
2940,Eastern Greene Schools,A
2950,Linton-Stockton School Corporation,B
2960,M S D Shakamak Schools,B
2980,White River Valley School District,B
3005,Hamilton Southeastern Schools,A
3025,Hamilton Heights School Corp,B
3030,Westfield-Washington Schools,A
3055,Sheridan Community Schools,B
3060,Carmel Clay Schools,A
3070,Noblesville Schools,A
3115,Southern Hancock Co Com Sch Corp,A
3125,Greenfield-Central Com Schools,B
3135,Mt Vernon Community School Corp,A
3145,Eastern Hancock Co Com Sch Corp,A
3160,Lanesville Community School Corp,B
3180,North Harrison Com School Corp,B
3190,South Harrison Com Schools,B
3295,North West Hendricks Schools,A
3305,Brownsburg Community School Corp,A
3315,Avon Community School Corp,B
3325,Danville Community School Corp,A
3330,Plainfield Community School Corp,A
3335,Mill Creek Community Sch Corp,A
3405,Blue River Valley Schools,C
3415,South Henry School Corp,C
3435,Shenandoah School Corporation,B
3445,New Castle Community School Corp,C
3455,C A Beard Memorial School Corp,B
3460,Taylor Community School Corp,C
3470,Northwestern School Corp,B
3480,Eastern Howard School Corporation,A
3490,Western School Corp,A
3500,Kokomo School Corporation,C
3625,Huntington Co Com Sch Corp,B
3640,Medora Community School Corp,F
3675,Seymour Community Schools,B
3695,Brownstown Cnt Com Sch Corp,B
3710,Crothersville Community Schools,C
3785,Kankakee Valley School Corp,B
3815,Rensselaer Central School Corp,B
3945,Jay School Corporation,B
3995,Madison Consolidated Schools,C
4000,Southwestern-Jefferson Co Con,C
4015,Jennings County School Corporation,B
4145,Clark-Pleasant Community Sch Corp,B
4205,Center Grove Community School Corp,A
4215,Edinburgh Community School Corp,B
4225,Franklin Community School Corp,B
4245,Greenwood Community Sch Corp,A
4255,Nineveh-Hensley-Jackson United,B
4315,North Knox School Corp,B
4325,South Knox School Corp,B
4335,Vincennes Community School Corp,C
4345,Wawasee Community School Corp,Appeal Pending
4415,Warsaw Community Schools,B
4445,Tippecanoe Valley School Corp,B
4455,Whitko Community School Corp,C
4515,Prairie Heights Community Sch Corp,B
4525,Westview School Corporation,A
4535,Lakeland School Corporation,C
4580,Hanover Community School Corp,A
4590,River Forest Community Sch Corp,C
4600,Merrillville Community School Corp,B
4615,Lake Central School Corporation,A
4645,Tri-Creek School Corporation,A
4650,Lake Ridge New Tech Schools,C
4660,Crown Point Community School Corp,A
4670,School City of East Chicago,Appeal Pending
4680,Lake Station Community Schools,C
4690,Gary Community School Corp,Appeal Pending
4700,Griffith Public Schools,B
4710,School City of Hammond,C
4720,School Town of Highland,B
4730,School City of Hobart,B
4740,School Town of Munster,A
4760,School City of Whiting,C
4805,New Prairie United School Corp,B
4860,M S D of New Durham Township,B
4915,Tri-Township Cons School Corp,B
4925,Michigan City Area Schools,C
4940,South Central Com School Corp,B
4945,LaPorte Community School Corp,B
5075,North Lawrence Com Schools,C
5085,Mitchell Community Schools,C
5245,Frankton-Lapel Community Schools,B
5255,South Madison Com Sch Corp,B
5265,Alexandria Community School Corp,B
5275,Anderson Community School Corp,C
5280,Elwood Community School Corp,C
5300,M S D Decatur Township,C
5310,Franklin Township Com Sch Corp,A
5330,M S D Lawrence Township,C
5340,Perry Township Schools,B
5350,M S D Pike Township,B
5360,M S D Warren Township,C
5370,M S D Washington Township,C
5375,M S D Wayne Township,C
5380,Beech Grove City Schools,C
5385,Indianapolis Public Schools,D
5400,School Town of Speedway,A
5455,Culver Community Schools Corp,B
5470,Argos Community Schools,B
5480,Bremen Public Schools,B
5485,Plymouth Community School Corp,B
5495,Triton School Corporation,B
5520,Shoals Community School Corp,C
5525,Loogootee Community Sch Corp,B
5615,Maconaquah School Corp,B
5620,North Miami Community Schools,B
5625,Oak Hill United School Corp,B
5635,Peru Community Schools,B
5705,Richland-Bean Blossom C S C,B
5740,Monroe County Community Sch Corp,B
5835,North Montgomery Com Sch Corp,B
5845,South Montgomery Com Sch Corp,A
5855,Crawfordsville Community Schools,C
5900,Monroe-Gregg School District,B
5910,Eminence Community School Corp,C
5925,M S D Martinsville Schools,B
5930,Mooresville Con School Corp,B
5945,North Newton School Corp,C
5995,South Newton School Corp,B
6055,Central Noble Com School Corp,C
6060,East Noble School Corporation,B
6065,West Noble School Corporation,B
6080,Rising Sun-Ohio Co Com,A
6145,Orleans Community Schools,B
6155,Paoli Community School Corp,B
6160,Springs Valley Com School Corp,C
6195,Spencer-Owen Community Schools,C
6260,Southwest Parke Com Sch Corp,C
6325,Perry Central Com Schools Corp,B
6340,Cannelton City Schools,D
6350,Tell City-Troy Twp School Corp,B
6375,North Central Parke Comm Schl Corp,C
6445,Pike County School Corp,B
6460,M S D Boone Township,B
6470,Duneland School Corporation,B
6510,East Porter County School Corp,A
6520,Porter Township School Corp,B
6530,Union Township School Corp,A
6550,Portage Township Schools,B
6560,Valparaiso Community Schools,A
6590,M S D Mount Vernon,B
6600,M S D North Posey Co Schools,B
6620,Eastern Pulaski Community Sch Corp,B
6630,West Central School Corp,C
6705,South Putnam Community Schools,B
6715,North Putnam Community Schools,B
6750,Cloverdale Community Schools,B
6755,Greencastle Community School Corp,C
6795,Union School Corporation,F
6805,Randolph Southern School Corp,B
6820,Monroe Central School Corp,A
6825,Randolph Central School Corp,B
6835,Randolph Eastern School Corp,B
6865,South Ripley Com Sch Corp,A
6895,Batesville Community School Corp,A
6900,Jac-Cen-Del Community Sch Corp,B
6910,Milan Community Schools,B
6995,Rush County Schools,B
7150,John Glenn School Corporation,A
7175,Penn-Harris-Madison School Corp,A
7200,School City of Mishawaka,C
7205,South Bend Community School Corp,C
7215,Union-North United School Corp,Appeal Pending
7230,Scott County School District 1,C
7255,Scott County School District 2,B
7285,Shelby Eastern Schools,B
7350,Northwestern Con School Corp,B
7360,Southwestern Con Sch Shelby Co,B
7365,Shelbyville Central Schools,B
7385,North Spencer County Sch Corp,A
7445,South Spencer County Sch Corp,B
7495,Oregon-Davis School Corp,C
7515,North Judson-San Pierre Sch Corp,C
7525,Knox Community School Corp,B
7605,Fremont Community Schools,A
7610,Hamilton Community Schools,C
7615,M S D Steuben County,B
7645,Northeast School Corp,B
7715,Southwest School Corp,B
7775,Switzerland County School Corp,C
7855,Lafayette School Corporation,C
7865,Tippecanoe School Corp,B
7875,West Lafayette Com School Corp,A
7935,Tri-Central Community Schools,C
7945,Tipton Community School Corp,B
7950,Union Co/Clg Corner Joint Sch Dist,B
7995,Evansville Vanderburgh School Corp,C
8010,North Vermillion Com Sch Corp,C
8020,South Vermillion Com Sch Corp,C
8030,Vigo County School Corp,B
8045,Manchester Community Schools,B
8050,M S D Wabash County Schools,B
8060,Wabash City Schools,C
8115,M S D Warren County,B
8130,Warrick County School Corp,A
8205,Salem Community Schools,C
8215,East Washington School Corp,C
8220,West Washington School Corp,B
8305,Nettle Creek School Corporation,A
8355,Western Wayne Schools,C
8360,Centerville-Abington Com Schs,B
8375,Northeastern Wayne Schools,A
8385,Richmond Community Schools,C
8425,Southern Wells Com Schools,B
8435,Northern Wells Com Schools,B
8445,M S D Bluffton-Harrison,B
8515,North White School Corp,B
8525,Frontier School Corporation,B
8535,Tri-County School Corporation,B
8565,Twin Lakes School Corp,B
8625,Smith-Green Community Schools,B
8665,Whitley Co Cons Schools,B
